Team,Jahr,Siege,Niederlagen,GF,GA,+/-
Boston Bruins,1990,44,24,299,264,35
Buffalo Sabres,1990,31,30,292,278,14
Calgary Flames,1990,46,26,344,263,81
Chicago Blackhawks,1990,49,23,284,211,73
Detroit Red Wings,1990,34,38,273,298,-25
Edmonton Oilers,1990,37,37,272,272,0
Hartford Whalers,1990,31,38,238,276,-38
Los Angeles Kings,1990,46,24,340,254,86
Minnesota North Stars,1990,27,39,256,266,-10
Montreal Canadiens,1990,39,30,273,249,24
New Jersey Devils,1990,32,33,272,264,8
New York Islanders,1990,25,45,223,290,-67
New York Rangers,1990,36,31,297,265,32
Philadelphia Flyers,1990,33,37,252,267,-15
Pittsburgh Penguins,1990,41,33,342,305,37
Quebec Nordiques,1990,16,50,236,354,-118
St. Louis Blues,1990,47,22,310,250,60
Toronto Maple Leafs,1990,23,46,241,318,-77
Vancouver Canucks,1990,28,43,243,315,-72
Washington Capitals,1990,37,36,258,258,0
Winnipeg Jets,1990,26,43,260,288,-28
Boston Bruins,1991,36,32,270,275,-5
Buffalo Sabres,1991,31,37,289,299,-10
Calgary Flames,1991,31,37,296,305,-9
Chicago Blackhawks,1991,36,29,257,236,21
Detroit Red Wings,1991,43,25,320,256,64
Edmonton Oilers,1991,36,34,295,297,-2
Hartford Whalers,1991,26,41,247,283,-36
Los Angeles Kings,1991,35,31,287,296,-9
Minnesota North Stars,1991,32,42,246,278,-32
Montreal Canadiens,1991,41,28,267,207,60
New Jersey Devils,1991,38,31,289,259,30
New York Islanders,1991,34,35,291,299,-8
New York Rangers,1991,50,25,321,246,75
Philadelphia Flyers,1991,32,37,252,273,-21
Pittsburgh Penguins,1991,39,32,343,308,35
Quebec Nordiques,1991,20,48,255,318,-63
San Jose Sharks,1991,17,58,219,359,-140
St. Louis Blues,1991,36,33,279,266,13
Toronto Maple Leafs,1991,30,43,234,294,-60
Vancouver Canucks,1991,42,26,285,250,35
Washington Capitals,1991,45,27,330,275,55
Winnipeg Jets,1991,33,32,251,244,7
Boston Bruins,1992,51,26,332,268,64
Buffalo Sabres,1992,38,36,335,297,38
Calgary Flames,1992,43,30,322,282,40
Chicago Blackhawks,1992,47,25,279,230,49
Detroit Red Wings,1992,47,28,369,280,89
Edmonton Oilers,1992,26,50,242,337,-95
Hartford Whalers,1992,26,52,284,369,-85
Los Angeles Kings,1992,39,35,338,340,-2
Minnesota North Stars,1992,36,38,272,293,-21
Montreal Canadiens,1992,48,30,326,280,46
New Jersey Devils,1992,40,37,308,299,9
New York Islanders,1992,40,37,335,297,38
New York Rangers,1992,34,39,304,308,-4
Ottawa Senators,1992,10,70,202,395,-193
Philadelphia Flyers,1992,36,37,319,319,0
Pittsburgh Penguins,1992,56,21,367,268,99
Quebec Nordiques,1992,47,27,351,300,51
San Jose Sharks,1992,11,71,218,414,-196
St. Louis Blues,1992,37,36,282,278,4
Tampa Bay Lightning,1992,23,54,245,332,-87
Toronto Maple Leafs,1992,44,29,288,241,47
Vancouver Canucks,1992,46,29,346,278,68
Washington Capitals,1992,43,34,325,286,39
Winnipeg Jets,1992,40,37,322,320,2
Mighty Ducks of Anaheim,1993,33,46,229,251,-22
Boston Bruins,1993,42,29,289,252,37
Buffalo Sabres,1993,43,32,282,218,64
Calgary Flames,1993,42,29,302,256,46
Chicago Blackhawks,1993,39,36,254,240,14
Dallas Stars,1993,42,29,286,265,21
Detroit Red Wings,1993,46,30,356,275,81
Edmonton Oilers,1993,25,45,261,305,-44
Florida Panthers,1993,33,34,233,233,0
Hartford Whalers,1993,27,48,227,288,-61
Los Angeles Kings,1993,27,45,294,322,-28
Montreal Canadiens,1993,41,29,283,248,35
New Jersey Devils,1993,47,25,306,220,86
New York Islanders,1993,36,36,282,264,18
New York Rangers,1993,52,24,299,231,68
Ottawa Senators,1993,14,61,201,397,-196
Philadelphia Flyers,1993,35,39,294,314,-20
Pittsburgh Penguins,1993,44,27,299,285,14
Quebec Nordiques,1993,34,42,277,292,-15
San Jose Sharks,1993,33,35,252,265,-13
St. Louis Blues,1993,40,33,270,283,-13
Tampa Bay Lightning,1993,30,43,224,251,-27
Toronto Maple Leafs,1993,43,29,280,243,37
Vancouver Canucks,1993,41,40,279,276,3
Washington Capitals,1993,39,35,277,263,14
Winnipeg Jets,1993,24,51,245,344,-99
Mighty Ducks of Anaheim,1994,16,27,125,164,-39
Boston Bruins,1994,27,18,150,127,23
Buffalo Sabres,1994,22,19,130,119,11
Calgary Flames,1994,24,17,163,135,28
Chicago Blackhawks,1994,24,19,156,115,41
Dallas Stars,1994,17,23,136,135,1
Detroit Red Wings,1994,33,11,180,117,63
Edmonton Oilers,1994,17,27,136,183,-47
Florida Panthers,1994,20,22,115,127,-12
Hartford Whalers,1994,19,24,127,141,-14
Los Angeles Kings,1994,16,23,142,174,-32
Montreal Canadiens,1994,18,23,125,148,-23
New Jersey Devils,1994,22,18,136,121,15
New York Islanders,1994,15,28,126,158,-32
New York Rangers,1994,22,23,139,134,5
Ottawa Senators,1994,9,34,117,174,-57
Philadelphia Flyers,1994,28,16,150,132,18
Pittsburgh Penguins,1994,29,16,181,158,23
Quebec Nordiques,1994,30,13,185,134,51
San Jose Sharks,1994,19,25,129,161,-32
St. Louis Blues,1994,28,15,178,135,43
Tampa Bay Lightning,1994,17,28,120,144,-24
Toronto Maple Leafs,1994,21,19,135,146,-11
Vancouver Canucks,1994,18,18,153,148,5
Washington Capitals,1994,22,18,136,120,16
Winnipeg Jets,1994,16,25,157,177,-20
Mighty Ducks of Anaheim,1995,35,39,234,247,-13
Boston Bruins,1995,40,31,282,269,13
Buffalo Sabres,1995,33,42,247,262,-15
Calgary Flames,1995,34,37,241,240,1
Chicago Blackhawks,1995,40,28,273,220,53
Colorado Avalanche,1995,47,25,326,240,86
Dallas Stars,1995,26,42,227,280,-53
Detroit Red Wings,1995,62,13,325,181,144
Edmonton Oilers,1995,30,44,240,304,-64
Florida Panthers,1995,41,31,254,234,20
Hartford Whalers,1995,34,39,237,259,-22
Los Angeles Kings,1995,24,40,256,302,-46
Montreal Canadiens,1995,40,32,265,248,17
New Jersey Devils,1995,37,33,215,202,13
New York Islanders,1995,22,50,229,315,-86
New York Rangers,1995,41,27,272,237,35
Ottawa Senators,1995,18,59,191,291,-100
Philadelphia Flyers,1995,45,24,282,208,74
Pittsburgh Penguins,1995,49,29,362,284,78
San Jose Sharks,1995,20,55,252,357,-105
St. Louis Blues,1995,32,34,219,248,-29
Tampa Bay Lightning,1995,38,32,238,248,-10
Toronto Maple Leafs,1995,34,36,247,252,-5
Vancouver Canucks,1995,32,35,278,278,0
Washington Capitals,1995,39,32,234,204,30
Winnipeg Jets,1995,36,40,275,291,-16
Mighty Ducks of Anaheim,1996,36,33,245,233,12
Boston Bruins,1996,26,47,234,300,-66
Buffalo Sabres,1996,40,30,237,208,29
Calgary Flames,1996,32,41,214,239,-25
Chicago Blackhawks,1996,34,35,223,210,13
Colorado Avalanche,1996,49,24,277,205,72
Dallas Stars,1996,48,26,252,198,54
Detroit Red Wings,1996,38,26,253,197,56
Edmonton Oilers,1996,36,37,252,247,5
Florida Panthers,1996,35,28,221,201,20
Hartford Whalers,1996,32,39,226,256,-30
Los Angeles Kings,1996,28,43,214,268,-54
Montreal Canadiens,1996,31,36,249,276,-27
New Jersey Devils,1996,45,23,231,182,49
New York Islanders,1996,29,41,240,250,-10
New York Rangers,1996,38,34,258,231,27
Ottawa Senators,1996,31,36,226,234,-8
Philadelphia Flyers,1996,45,24,274,217,57
Phoenix Coyotes,1996,38,37,240,243,-3
Pittsburgh Penguins,1996,38,36,285,280,5
San Jose Sharks,1996,27,47,211,278,-67
St. Louis Blues,1996,36,35,236,239,-3
Tampa Bay Lightning,1996,32,40,217,247,-30
Toronto Maple Leafs,1996,30,44,230,273,-43
Vancouver Canucks,1996,35,40,257,273,-16
Washington Capitals,1996,33,40,214,231,-17
Mighty Ducks of Anaheim,1997,26,43,205,261,-56
Boston Bruins,1997,39,30,221,194,27
Buffalo Sabres,1997,36,29,211,187,24
Calgary Flames,1997,26,41,217,252,-35
Carolina Hurricanes,1997,33,41,200,219,-19
Chicago Blackhawks,1997,30,39,192,199,-7
Colorado Avalanche,1997,39,26,231,205,26
Dallas Stars,1997,49,22,242,167,75
Detroit Red Wings,1997,44,23,250,196,54
Edmonton Oilers,1997,35,37,215,224,-9
Florida Panthers,1997,24,43,203,256,-53
Los Angeles Kings,1997,38,33,227,225,2
Montreal Canadiens,1997,37,32,235,208,27
New Jersey Devils,1997,48,23,225,166,59
New York Islanders,1997,30,41,212,225,-13
New York Rangers,1997,25,39,197,231,-34
Ottawa Senators,1997,34,33,193,200,-7
Philadelphia Flyers,1997,42,29,242,193,49
Phoenix Coyotes,1997,35,35,224,227,-3
Pittsburgh Penguins,1997,40,24,228,188,40
San Jose Sharks,1997,34,38,210,216,-6
St. Louis Blues,1997,45,29,256,204,52
Tampa Bay Lightning,1997,17,55,151,269,-118
Toronto Maple Leafs,1997,30,43,194,237,-43
Vancouver Canucks,1997,25,43,224,273,-49
Washington Capitals,1997,40,30,219,202,17
Mighty Ducks of Anaheim,1998,35,34,215,206,9
Boston Bruins,1998,39,30,214,181,33
Buffalo Sabres,1998,37,28,207,175,32
Calgary Flames,1998,30,40,211,234,-23
Carolina Hurricanes,1998,34,30,210,202,8
Chicago Blackhawks,1998,29,41,202,248,-46
Colorado Avalanche,1998,44,28,239,205,34
Dallas Stars,1998,51,19,236,168,68
Detroit Red Wings,1998,43,32,245,202,43
Edmonton Oilers,1998,33,37,230,226,4
Florida Panthers,1998,30,34,210,228,-18
Los Angeles Kings,1998,32,45,189,222,-33
Montreal Canadiens,1998,32,39,184,209,-25
Nashville Predators,1998,28,47,190,261,-71
New Jersey Devils,1998,47,24,248,196,52
New York Islanders,1998,24,48,194,244,-50
New York Rangers,1998,33,38,217,227,-10
Ottawa Senators,1998,44,23,239,179,60
Philadelphia Flyers,1998,37,26,231,196,35
Phoenix Coyotes,1998,39,31,205,197,8
Pittsburgh Penguins,1998,38,30,242,225,17
San Jose Sharks,1998,31,33,196,191,5
St. Louis Blues,1998,37,32,237,209,28
Tampa Bay Lightning,1998,19,54,179,292,-113
Toronto Maple Leafs,1998,45,30,268,231,37
Vancouver Canucks,1998,23,47,192,258,-66
Washington Capitals,1998,31,45,200,218,-18
Mighty Ducks of Anaheim,1999,34,33,217,227,-10
Atlanta Thrashers,1999,14,57,170,313,-143
Boston Bruins,1999,24,33,210,248,-38
Buffalo Sabres,1999,35,32,213,204,9
Calgary Flames,1999,31,36,211,256,-45
Carolina Hurricanes,1999,37,35,217,216,1
Chicago Blackhawks,1999,33,37,242,245,-3
Colorado Avalanche,1999,42,28,233,201,32
Dallas Stars,1999,43,23,211,184,27
Detroit Red Wings,1999,48,22,278,210,68
Edmonton Oilers,1999,32,26,226,212,14
Florida Panthers,1999,43,27,244,209,35
Los Angeles Kings,1999,39,27,245,228,17
Montreal Canadiens,1999,35,34,196,194,2
Nashville Predators,1999,28,40,199,240,-41
New Jersey Devils,1999,45,24,251,203,48
New York Islanders,1999,24,48,194,275,-81
New York Rangers,1999,29,38,218,246,-28
Ottawa Senators,1999,41,28,244,210,34
Philadelphia Flyers,1999,45,22,237,179,58
Phoenix Coyotes,1999,39,31,232,228,4
Pittsburgh Penguins,1999,37,31,241,236,5
San Jose Sharks,1999,35,30,225,214,11
St. Louis Blues,1999,51,19,248,165,83
Tampa Bay Lightning,1999,19,47,204,310,-106
Toronto Maple Leafs,1999,45,27,246,222,24
Vancouver Canucks,1999,30,29,227,237,-10
Washington Capitals,1999,44,24,227,194,33
Mighty Ducks of Anaheim,2000,25,41,188,245,-57
Atlanta Thrashers,2000,23,45,211,289,-78
Boston Bruins,2000,36,30,227,249,-22
Buffalo Sabres,2000,46,30,218,184,34
Calgary Flames,2000,27,36,197,236,-39
Carolina Hurricanes,2000,38,32,212,225,-13
Columbus Blue Jackets,2000,28,39,190,233,-43
Chicago Blackhawks,2000,29,40,210,246,-36
Colorado Avalanche,2000,52,16,270,192,78
Dallas Stars,2000,48,24,241,187,54
Detroit Red Wings,2000,49,20,253,202,51
Edmonton Oilers,2000,39,28,243,222,21
Florida Panthers,2000,22,38,200,246,-46
Los Angeles Kings,2000,38,28,252,228,24
Minnesota Wild,2000,25,39,168,210,-42
Montreal Canadiens,2000,28,40,206,232,-26
Nashville Predators,2000,34,36,186,200,-14
New Jersey Devils,2000,48,19,295,195,100
New York Islanders,2000,21,51,185,268,-83
New York Rangers,2000,33,43,250,290,-40
Ottawa Senators,2000,48,21,274,205,69
Philadelphia Flyers,2000,43,25,240,207,33
Phoenix Coyotes,2000,35,27,214,212,2
Pittsburgh Penguins,2000,42,28,281,256,25
San Jose Sharks,2000,40,27,217,192,25
St. Louis Blues,2000,43,22,249,195,54
Tampa Bay Lightning,2000,24,47,201,280,-79
Toronto Maple Leafs,2000,37,29,232,207,25
Vancouver Canucks,2000,36,28,239,238,1
Washington Capitals,2000,41,27,233,211,22
Mighty Ducks of Anaheim,2001,29,42,175,198,-23
Atlanta Thrashers,2001,19,47,187,288,-101
Boston Bruins,2001,43,24,236,201,35
Buffalo Sabres,2001,35,35,213,200,13
Calgary Flames,2001,32,35,201,220,-19
Carolina Hurricanes,2001,35,26,217,217,0
Columbus Blue Jackets,2001,22,47,164,255,-91
Chicago Blackhawks,2001,41,27,216,207,9
Colorado Avalanche,2001,45,28,212,169,43
Dallas Stars,2001,36,28,215,213,2
Detroit Red Wings,2001,51,17,251,187,64
Edmonton Oilers,2001,38,28,205,182,23
Florida Panthers,2001,22,44,180,250,-70
Los Angeles Kings,2001,40,27,214,190,24
Minnesota Wild,2001,26,35,195,238,-43
Montreal Canadiens,2001,36,31,207,209,-2
Nashville Predators,2001,28,41,196,230,-34
New Jersey Devils,2001,41,28,205,187,18
New York Islanders,2001,42,28,239,220,19
New York Rangers,2001,36,38,227,258,-31
Ottawa Senators,2001,39,27,243,208,35
Philadelphia Flyers,2001,42,27,234,192,42
Phoenix Coyotes,2001,40,27,228,210,18
Pittsburgh Penguins,2001,28,41,198,249,-51
San Jose Sharks,2001,44,27,248,199,49
St. Louis Blues,2001,43,27,227,188,39
Tampa Bay Lightning,2001,27,40,178,219,-41
Toronto Maple Leafs,2001,43,25,249,207,42
Vancouver Canucks,2001,42,30,254,211,43
Washington Capitals,2001,36,33,228,240,-12
Mighty Ducks of Anaheim,2002,40,27,203,193,10
Atlanta Thrashers,2002,31,39,226,284,-58
Boston Bruins,2002,36,31,245,237,8
Buffalo Sabres,2002,27,37,190,219,-29
Calgary Flames,2002,29,36,186,228,-42
Carolina Hurricanes,2002,22,43,171,240,-69
Columbus Blue Jackets,2002,29,42,213,263,-50
Chicago Blackhawks,2002,30,33,207,226,-19
Colorado Avalanche,2002,42,19,251,194,57
Dallas Stars,2002,46,17,245,169,76
Detroit Red Wings,2002,48,20,269,203,66
Edmonton Oilers,2002,36,26,231,230,1
Florida Panthers,2002,24,36,176,237,-61
Los Angeles Kings,2002,33,37,203,221,-18
Minnesota Wild,2002,42,29,198,178,20
Montreal Canadiens,2002,30,35,206,234,-28
Nashville Predators,2002,27,35,183,206,-23
New Jersey Devils,2002,46,20,216,166,50
New York Islanders,2002,35,34,224,231,-7
New York Rangers,2002,32,36,210,231,-21
Ottawa Senators,2002,52,21,263,182,81
Philadelphia Flyers,2002,45,20,211,166,45
Phoenix Coyotes,2002,31,35,204,230,-26
Pittsburgh Penguins,2002,27,44,189,255,-66
San Jose Sharks,2002,28,37,214,239,-25
St. Louis Blues,2002,41,24,253,222,31
Tampa Bay Lightning,2002,36,25,219,210,9
Toronto Maple Leafs,2002,44,28,236,208,28
Vancouver Canucks,2002,45,23,264,208,56
Washington Capitals,2002,39,29,224,220,4
Mighty Ducks of Anaheim,2003,29,35,184,213,-29
Atlanta Thrashers,2003,33,37,214,243,-29
Boston Bruins,2003,41,19,209,188,21
Buffalo Sabres,2003,37,34,220,221,-1
Calgary Flames,2003,42,30,200,176,24
Carolina Hurricanes,2003,28,34,172,209,-37
Columbus Blue Jackets,2003,25,45,177,238,-61
Chicago Blackhawks,2003,20,43,188,259,-71
Colorado Avalanche,2003,40,22,236,198,38
Dallas Stars,2003,41,26,194,175,19
Detroit Red Wings,2003,48,21,255,189,66
Edmonton Oilers,2003,36,29,221,208,13
Florida Panthers,2003,28,35,188,221,-33
Los Angeles Kings,2003,28,29,205,217,-12
Minnesota Wild,2003,30,29,188,183,5
Montreal Canadiens,2003,41,30,208,192,16
Nashville Predators,2003,38,29,216,217,-1
New Jersey Devils,2003,43,25,213,164,49
New York Islanders,2003,38,29,237,210,27
New York Rangers,2003,27,40,206,250,-44
Ottawa Senators,2003,43,23,262,189,73
Philadelphia Flyers,2003,40,21,229,186,43
Phoenix Coyotes,2003,22,36,188,245,-57
Pittsburgh Penguins,2003,23,47,190,303,-113
San Jose Sharks,2003,43,21,219,183,36
St. Louis Blues,2003,39,30,191,198,-7
Tampa Bay Lightning,2003,46,22,245,192,53
Toronto Maple Leafs,2003,45,24,242,204,38
Vancouver Canucks,2003,43,24,235,194,41
Washington Capitals,2003,23,46,186,253,-67
Mighty Ducks of Anaheim,2005,43,27,254,229,25
Atlanta Thrashers,2005,41,33,281,275,6
Boston Bruins,2005,29,37,230,266,-36
Buffalo Sabres,2005,52,24,281,239,42
Calgary Flames,2005,46,25,218,200,18
Carolina Hurricanes,2005,52,22,294,260,34
Columbus Blue Jackets,2005,35,43,223,279,-56
Chicago Blackhawks,2005,26,43,211,285,-74
Colorado Avalanche,2005,43,30,283,257,26
Dallas Stars,2005,53,23,265,218,47
Detroit Red Wings,2005,58,16,305,209,96
Edmonton Oilers,2005,41,28,256,251,5
Florida Panthers,2005,37,34,240,257,-17
Los Angeles Kings,2005,42,35,249,270,-21
Minnesota Wild,2005,38,36,231,215,16
Montreal Canadiens,2005,42,31,243,247,-4
Nashville Predators,2005,49,25,259,227,32
New Jersey Devils,2005,46,27,242,229,13
New York Islanders,2005,36,40,230,278,-48
New York Rangers,2005,44,26,257,215,42
Ottawa Senators,2005,52,21,314,211,103
Philadelphia Flyers,2005,45,26,267,259,8
Phoenix Coyotes,2005,38,39,246,271,-25
Pittsburgh Penguins,2005,22,46,244,316,-72
San Jose Sharks,2005,44,27,266,242,24
St. Louis Blues,2005,21,46,197,292,-95
Tampa Bay Lightning,2005,43,33,252,260,-8
Toronto Maple Leafs,2005,41,33,257,270,-13
Vancouver Canucks,2005,42,32,256,255,1
Washington Capitals,2005,29,41,237,306,-69
Anaheim Ducks,2006,48,20,258,208,50
Atlanta Thrashers,2006,43,28,246,245,1
Boston Bruins,2006,35,41,219,289,-70
Buffalo Sabres,2006,53,22,308,242,66
Calgary Flames,2006,43,29,258,226,32
Carolina Hurricanes,2006,40,34,241,253,-12
Columbus Blue Jackets,2006,33,42,201,249,-48
Chicago Blackhawks,2006,31,42,201,258,-57
Colorado Avalanche,2006,44,31,272,251,21
Dallas Stars,2006,50,25,226,197,29
Detroit Red Wings,2006,50,19,254,199,55
Edmonton Oilers,2006,32,43,195,248,-53
Florida Panthers,2006,35,31,247,257,-10
Los Angeles Kings,2006,27,41,227,283,-56
Minnesota Wild,2006,48,26,235,191,44
Montreal Canadiens,2006,42,34,245,256,-11
Nashville Predators,2006,51,23,272,212,60
New Jersey Devils,2006,49,24,216,201,15
New York Islanders,2006,40,30,248,240,8
New York Rangers,2006,42,30,242,216,26
Ottawa Senators,2006,48,25,288,222,66
Philadelphia Flyers,2006,22,48,214,303,-89
Phoenix Coyotes,2006,31,46,216,284,-68
Pittsburgh Penguins,2006,47,24,277,246,31
San Jose Sharks,2006,51,26,258,199,59
St. Louis Blues,2006,34,35,214,254,-40
Tampa Bay Lightning,2006,44,33,253,261,-8
Toronto Maple Leafs,2006,40,31,258,269,-11
Vancouver Canucks,2006,49,26,222,201,21
Washington Capitals,2006,28,40,235,286,-51
Anaheim Ducks,2007,47,27,205,191,14
Atlanta Thrashers,2007,34,40,216,272,-56
Boston Bruins,2007,41,29,212,222,-10
Buffalo Sabres,2007,39,31,255,242,13
Calgary Flames,2007,42,30,229,227,2
Carolina Hurricanes,2007,43,33,252,249,3
Columbus Blue Jackets,2007,34,36,193,218,-25
Chicago Blackhawks,2007,40,34,239,235,4
Colorado Avalanche,2007,44,31,231,219,12
Dallas Stars,2007,45,30,242,207,35
Detroit Red Wings,2007,54,21,257,184,73
Edmonton Oilers,2007,41,35,235,251,-16
Florida Panthers,2007,38,35,216,226,-10
Los Angeles Kings,2007,32,43,231,266,-35
Minnesota Wild,2007,44,28,223,218,5
Montreal Canadiens,2007,47,25,262,222,40
Nashville Predators,2007,41,32,230,229,1
New Jersey Devils,2007,46,29,206,197,9
New York Islanders,2007,35,38,194,243,-49
New York Rangers,2007,42,27,213,199,14
Ottawa Senators,2007,43,31,261,247,14
Philadelphia Flyers,2007,42,29,248,233,15
Phoenix Coyotes,2007,38,37,214,231,-17
Pittsburgh Penguins,2007,47,27,247,216,31
San Jose Sharks,2007,49,23,222,193,29
St. Louis Blues,2007,33,36,205,237,-32
Tampa Bay Lightning,2007,31,42,223,267,-44
Toronto Maple Leafs,2007,36,35,231,260,-29
Vancouver Canucks,2007,39,33,213,215,-2
Washington Capitals,2007,43,31,242,231,11
Anaheim Ducks,2008,42,33,245,238,7
Atlanta Thrashers,2008,35,41,257,280,-23
Boston Bruins,2008,53,19,274,196,78
Buffalo Sabres,2008,41,32,250,234,16
Calgary Flames,2008,46,30,254,248,6
Carolina Hurricanes,2008,45,30,239,226,13
Columbus Blue Jackets,2008,41,31,226,230,-4
Chicago Blackhawks,2008,46,24,264,216,48
Colorado Avalanche,2008,32,45,199,257,-58
Dallas Stars,2008,36,35,230,257,-27
Detroit Red Wings,2008,51,21,295,244,51
Edmonton Oilers,2008,38,35,234,248,-14
Florida Panthers,2008,41,30,234,231,3
Los Angeles Kings,2008,34,37,207,234,-27
Minnesota Wild,2008,40,33,219,200,19
Montreal Canadiens,2008,41,30,249,247,2
Nashville Predators,2008,40,34,213,233,-20
New Jersey Devils,2008,51,27,244,209,35
New York Islanders,2008,26,47,201,279,-78
New York Rangers,2008,43,30,210,218,-8
Ottawa Senators,2008,36,35,217,237,-20
Philadelphia Flyers,2008,44,27,264,238,26
Phoenix Coyotes,2008,36,39,208,252,-44
Pittsburgh Penguins,2008,45,28,264,239,25
San Jose Sharks,2008,53,18,257,204,53
St. Louis Blues,2008,41,31,233,233,0
Tampa Bay Lightning,2008,24,40,210,279,-69
Toronto Maple Leafs,2008,34,35,250,293,-43
Vancouver Canucks,2008,45,27,246,220,26
Washington Capitals,2008,50,24,272,245,27
Anaheim Ducks,2009,39,32,238,251,-13
Atlanta Thrashers,2009,35,34,234,256,-22
Boston Bruins,2009,39,30,206,200,6
Buffalo Sabres,2009,45,27,235,207,28
Calgary Flames,2009,40,32,204,210,-6
Carolina Hurricanes,2009,35,37,230,256,-26
Columbus Blue Jackets,2009,32,35,216,259,-43
Chicago Blackhawks,2009,52,22,271,209,62
Colorado Avalanche,2009,43,30,244,233,11
Dallas Stars,2009,37,31,237,254,-17
Detroit Red Wings,2009,44,24,229,216,13
Edmonton Oilers,2009,27,47,214,284,-70
Florida Panthers,2009,32,37,208,244,-36
Los Angeles Kings,2009,46,27,241,219,22
Minnesota Wild,2009,38,36,219,246,-27
Montreal Canadiens,2009,39,33,217,223,-6
Nashville Predators,2009,47,29,225,225,0
New Jersey Devils,2009,48,27,222,191,31
New York Islanders,2009,34,37,222,264,-42
New York Rangers,2009,38,33,222,218,4
Ottawa Senators,2009,44,32,225,238,-13
Philadelphia Flyers,2009,41,35,236,225,11
Phoenix Coyotes,2009,50,25,225,202,23
Pittsburgh Penguins,2009,47,28,257,237,20
San Jose Sharks,2009,51,20,264,215,49
St. Louis Blues,2009,40,32,225,223,2
Tampa Bay Lightning,2009,34,36,217,260,-43
Toronto Maple Leafs,2009,30,38,214,267,-53
Vancouver Canucks,2009,49,28,272,222,50
Washington Capitals,2009,54,15,318,233,85
Anaheim Ducks,2010,47,30,239,235,4
Atlanta Thrashers,2010,34,36,223,269,-46
Boston Bruins,2010,46,25,246,195,51
Buffalo Sabres,2010,43,29,245,229,16
Calgary Flames,2010,41,29,250,237,13
Carolina Hurricanes,2010,40,31,236,239,-3
Columbus Blue Jackets,2010,34,35,215,258,-43
Chicago Blackhawks,2010,44,29,258,225,33
Colorado Avalanche,2010,30,44,227,288,-61
Dallas Stars,2010,42,29,227,233,-6
Detroit Red Wings,2010,47,25,261,241,20
Edmonton Oilers,2010,25,45,193,269,-76
Florida Panthers,2010,30,40,195,229,-34
Los Angeles Kings,2010,46,30,219,198,21
Minnesota Wild,2010,39,35,206,233,-27
Montreal Canadiens,2010,44,30,216,209,7
Nashville Predators,2010,44,27,219,194,25
New Jersey Devils,2010,38,39,174,209,-35
New York Islanders,2010,30,39,229,264,-35
New York Rangers,2010,44,33,233,198,35
Ottawa Senators,2010,32,40,192,250,-58
Philadelphia Flyers,2010,47,23,259,223,36
Phoenix Coyotes,2010,43,26,231,226,5
Pittsburgh Penguins,2010,49,25,238,199,39
San Jose Sharks,2010,48,25,248,213,35
St. Louis Blues,2010,38,33,240,234,6
Tampa Bay Lightning,2010,46,25,247,240,7
Toronto Maple Leafs,2010,37,34,218,251,-33
Vancouver Canucks,2010,54,19,262,185,77
Washington Capitals,2010,48,23,224,197,27
Anaheim Ducks,2011,34,36,204,231,-27
Boston Bruins,2011,49,29,269,202,67
Buffalo Sabres,2011,39,32,218,230,-12
Calgary Flames,2011,37,29,202,226,-24
Carolina Hurricanes,2011,33,33,213,243,-30
Columbus Blue Jackets,2011,29,46,202,262,-60
Chicago Blackhawks,2011,45,26,248,238,10
Colorado Avalanche,2011,41,35,208,220,-12
Dallas Stars,2011,42,35,211,222,-11
Detroit Red Wings,2011,48,28,248,203,45
Edmonton Oilers,2011,32,40,212,239,-27
Florida Panthers,2011,38,26,203,227,-24
Los Angeles Kings,2011,40,27,194,179,15
Minnesota Wild,2011,35,36,177,226,-49
Montreal Canadiens,2011,31,35,212,226,-14
Nashville Predators,2011,48,26,237,210,27
New Jersey Devils,2011,48,28,228,209,19
New York Islanders,2011,34,37,203,255,-52
New York Rangers,2011,51,24,226,187,39
Ottawa Senators,2011,41,31,249,240,9
Philadelphia Flyers,2011,47,26,264,232,32
Phoenix Coyotes,2011,42,27,216,204,12
Pittsburgh Penguins,2011,51,25,282,221,61
San Jose Sharks,2011,43,29,228,210,18
St. Louis Blues,2011,49,22,210,165,45
Tampa Bay Lightning,2011,38,36,235,281,-46
Toronto Maple Leafs,2011,35,37,231,264,-33
Vancouver Canucks,2011,51,22,249,198,51
Washington Capitals,2011,42,32,222,230,-8
Winnipeg Jets,2011,37,35,225,246,-21
